employee_id,fullname,rating,iq,gtq,growth_drive_and_resilience,curiosity_and_experimentation,insight_and_decision_sharpness,quality_delivery_discipline,synergy_and_team_orientation
DUP1942,Dewi Fadillah Hidayat,5.0,,,5.0,4.0,5.0,5.0,5.0
DUP2096,Putri Wibowo,3.0,,,3.0,3.0,4.0,2.0,3.0
DUP2722,Dewi Syahputra,4.0,124.0,18.0,5.0,3.0,4.0,3.0,
DUP3015,Bayu Kurniawan,3.0,87.0,22.0,3.0,2.0,4.0,3.0,4.0
DUP3452,Fitri Anugrah Subekti,3.0,90.0,38.0,3.0,3.0,3.0,4.0,3.0
DUP4177,Adi Ginting,2.0,,,1.0,2.0,2.0,1.0,2.0
DUP5237,Fajar Fauziah,3.0,121.0,30.0,4.0,3.0,4.0,3.0,3.0
DUP9015,Umar Maulana,3.0,134.0,41.0,3.0,2.0,3.0,4.0,3.0
DUP9129,Nabila Dharma Salsabila,,93.0,36.0,4.0,3.0,4.0,5.0,4.0
DUP9801,Ayu Kusuma Santoso,5.0,131.0,28.0,5.0,5.0,5.0,5.0,5.0
EMP100000,Rendra Pratama,3.0,94.0,33.0,3.0,3.0,4.0,3.0,3.0
EMP100001,Wulan Setiawan,3.0,94.0,17.0,2.0,2.0,3.0,2.0,2.0
EMP100002,Julia Jatmiko Situmorang,4.0,109.0,20.0,3.0,5.0,3.0,5.0,4.0
EMP100003,Oka Halim,3.0,85.0,39.0,4.0,3.0,3.0,3.0,
EMP100004,Dwi Pratama,4.0,134.0,21.0,4.0,4.0,3.0,3.0,5.0
EMP100005,Bayu Zulfikar,3.0,130.0,21.0,2.0,3.0,2.0,3.0,2.0
EMP100006,Indra Santoso,4.0,139.0,27.0,4.0,3.0,5.0,4.0,3.0
EMP100007,Rani Mahendra,2.0,99.0,17.0,2.0,2.0,,3.0,1.0
EMP100008,Gita Permadi,3.0,137.0,23.0,4.0,3.0,3.0,2.0,3.0
EMP100009,Julia Anggara,,82.0,29.0,2.0,3.0,2.0,3.0,1.0
EMP100010,Maya Jatmiko Handayani,5.0,84.0,42.0,,5.0,5.0,5.0,4.0
EMP100011,Fajar Halim,5.0,125.0,31.0,4.0,,0.0,,4.0
EMP100012,Rendra Tri Purnama,5.0,108.0,43.0,4.0,2.0,4.0,4.0,2.0
EMP100013,Maya Mahendra,2.0,124.0,33.0,2.0,2.0,2.0,2.0,3.0
EMP100014,Wahyu Indrawan,3.0,92.0,24.0,3.0,3.0,3.0,3.0,2.0
EMP100015,Zahra Utama Setiawan,,,,4.0,4.0,3.0,4.0,4.0
EMP100016,Dinda Pramudita Ginting,2.0,97.0,34.0,1.0,3.0,2.0,3.0,1.0
EMP100017,Fajar Mahendra,4.0,107.0,31.0,4.0,4.0,,4.0,3.0
EMP100018,Arif Ginting,2.0,,28.0,2.0,3.0,2.0,2.0,
EMP100019,Rizki Iqbal Gunawan,3.0,125.0,23.0,2.0,,3.0,3.0,3.0
EMP100020,Yoga Erlangga Hartanto,4.0,132.0,33.0,,4.0,5.0,4.0,4.0
EMP100021,Oka Candra Kurniawan,,,,4.0,4.0,4.0,4.0,4.0
EMP100022,Oka Nugroho,4.0,91.0,35.0,4.0,3.0,5.0,4.0,4.0
EMP100023,Adit Kurniawan,3.0,139.0,30.0,3.0,4.0,3.0,3.0,2.0
EMP100024,Rendra Candra Maulida,5.0,134.0,23.0,5.0,5.0,5.0,5.0,4.0
EMP100025,Rizky Dharma Purnama,,,34.0,3.0,3.0,3.0,4.0,4.0
EMP100026,Wulan Yudhistira Tamba,5.0,107.0,32.0,5.0,5.0,5.0,4.0,5.0
EMP100027,Oka Rohman,1.0,97.0,18.0,2.0,1.0,1.0,1.0,1.0
EMP100028,Nadia Saputra,3.0,107.0,20.0,3.0,,3.0,3.0,3.0
EMP100029,Satya Adi Hasibuan,,105.0,29.0,3.0,2.0,3.0,4.0,3.0
EMP100030,Rizky Anugrah Permadi,3.0,110.0,22.0,,3.0,3.0,4.0,3.0
EMP100031,Julia Nabila Kurniawan,2.0,103.0,35.0,2.0,2.0,2.0,2.0,3.0
EMP100032,Galih Mahardika Purnama,3.0,,36.0,,3.0,2.0,2.0,3.0
EMP100033,Ahmad Simanjuntak,2.0,117.0,23.0,2.0,3.0,1.0,1.0,
EMP100034,Ari Adi Ginting,,116.0,35.0,2.0,3.0,3.0,3.0,3.0
EMP100035,Oka Tamba,2.0,103.0,28.0,2.0,3.0,,2.0,2.0
EMP100036,Ayunda Utama Lestari,3.0,120.0,28.0,3.0,2.0,3.0,3.0,3.0
EMP100037,Nabila Ramadhan,4.0,,,4.0,5.0,4.0,4.0,4.0
EMP100038,Bella Tri Setiawan,,93.0,36.0,4.0,3.0,4.0,5.0,4.0
EMP100039,Budi Adi Permadi,5.0,125.0,41.0,5.0,5.0,4.0,5.0,5.0
EMP100040,Rifqi Putra,2.0,112.0,24.0,2.0,2.0,,1.0,2.0
EMP100041,Lestari Maulana,5.0,86.0,25.0,5.0,5.0,5.0,,5.0
EMP100042,Oka Lukman,4.0,139.0,25.0,4.0,4.0,3.0,4.0,4.0
EMP100043,Nugroho Indrawan,4.0,,,4.0,4.0,5.0,5.0,4.0
EMP100044,Indra Maulida,4.0,82.0,41.0,4.0,4.0,3.0,4.0,4.0
EMP100045,Dimas Mahendra,3.0,111.0,23.0,,3.0,3.0,4.0,4.0
EMP100046,Fitri Lestari,2.0,,,3.0,2.0,2.0,2.0,1.0
EMP100047,Hadi Pradana,1.0,110.0,22.0,2.0,1.0,1.0,1.0,2.0
EMP100048,Adit Halim,3.0,125.0,36.0,3.0,3.0,0.0,3.0,3.0
EMP100049,Rizki Halim Siregar,4.0,133.0,27.0,4.0,5.0,4.0,4.0,4.0
EMP100050,Joko Ridwan,5.0,131.0,32.0,5.0,5.0,5.0,5.0,5.0
EMP100051,Ari Mahardika Nugroho,2.0,110.0,36.0,2.0,1.0,3.0,2.0,2.0
EMP100052,Sari Yudhistira Mahendra,5.0,126.0,36.0,5.0,5.0,5.0,5.0,5.0
EMP100053,Anisa Pamungkas,4.0,140.0,23.0,5.0,4.0,5.0,3.0,3.0
EMP100054,Nugroho Maulida,5.0,88.0,36.0,5.0,5.0,5.0,,5.0
EMP100055,Putri Nugroho,4.0,124.0,26.0,4.0,5.0,4.0,4.0,3.0
EMP100056,Ayunda Ramadhan,3.0,,,3.0,,3.0,4.0,2.0
EMP100057,Nurlita Kusuma,3.0,123.0,35.0,2.0,3.0,2.0,3.0,3.0
EMP100058,Adit Anugrah Halim,4.0,,,,1.0,2.0,1.0,2.0
EMP100059,Fajar Dharma Subekti,5.0,92.0,13.0,5.0,,4.0,5.0,5.0
EMP100060,Wulan Maulida,5.0,,,3.0,3.0,2.0,,2.0
EMP100061,Oktavia Anugrah Setiawan,3.0,,,2.0,,3.0,,6.0
EMP100062,Valdo Jatmiko Mahendra,3.0,89.0,31.0,3.0,3.0,3.0,4.0,2.0
EMP100063,Ayu Lestari Pradana,3.0,,,3.0,2.0,2.0,4.0,3.0
EMP100064,Kurnia Purnama,2.0,96.0,26.0,2.0,2.0,3.0,2.0,3.0
EMP100065,Rani Saputra,4.0,90.0,34.0,4.0,5.0,,,3.0
EMP100066,Tania Lestari Setiawan,3.0,84.0,28.0,,3.0,3.0,3.0,3.0
EMP100067,Indra Zulfikar,3.0,101.0,20.0,3.0,3.0,4.0,3.0,
EMP100068,Nabila Qolbi Suharto,1.0,,16.0,1.0,1.0,1.0,,1.0
EMP100069,Anisa Permadi,,93.0,36.0,3.0,2.0,3.0,4.0,
EMP100070,Kartika Rachman Ramadhan,,137.0,36.0,3.0,2.0,3.0,3.0,4.0
EMP100071,Rafa Situmorang,3.0,107.0,35.0,3.0,2.0,3.0,4.0,4.0
EMP100072,Nugroho Hartanto,2.0,87.0,32.0,2.0,2.0,2.0,2.0,2.0
EMP100073,Dimas Halim Ananda,2.0,104.0,35.0,1.0,2.0,2.0,2.0,2.0
EMP100074,Ari Utama Putra,3.0,131.0,25.0,4.0,3.0,3.0,4.0,3.0
EMP100075,Rizki Halim Zulfikar,5.0,,,5.0,5.0,5.0,5.0,5.0
EMP100076,Rizki Wijaya,4.0,80.0,34.0,,4.0,5.0,4.0,4.0
EMP100077,Novi Setiawan,2.0,135.0,32.0,3.0,,1.0,2.0,2.0
EMP100078,Indra Anggara,3.0,84.0,19.0,4.0,3.0,3.0,2.0,3.0
EMP100079,Novi Hasibuan,3.0,122.0,23.0,4.0,,,4.0,3.0
EMP100080,Andi Mahardika Handayani,3.0,87.0,36.0,2.0,3.0,4.0,3.0,3.0
EMP100081,Ari Yulianto,4.0,138.0,23.0,3.0,5.0,3.0,4.0,4.0
EMP100082,Budi Dharma Lukman,4.0,133.0,27.0,3.0,3.0,3.0,,3.0
EMP100083,Rizka Erlangga Subekti,,99.0,30.0,4.0,4.0,4.0,,5.0
EMP100084,Dian Rachman Handayani,4.0,118.0,36.0,5.0,5.0,3.0,4.0,3.0
EMP100085,Ahmad Rohman,4.0,,26.0,5.0,4.0,4.0,4.0,4.0
EMP100086,Rani Syahputra,4.0,110.0,36.0,4.0,4.0,3.0,4.0,4.0
EMP100087,Rizka Ananda,1.0,109.0,25.0,1.0,1.0,1.0,1.0,1.0
EMP100088,Nadia Saputra Mahendra,2.0,83.0,29.0,2.0,3.0,,2.0,
EMP100089,Umar Simanjuntak,,,,,4.0,,2.0,3.0
EMP100090,Maya Pratomo,4.0,,29.0,4.0,3.0,4.0,5.0,4.0
EMP100091,Oka Candra Firmansyah,4.0,102.0,23.0,4.0,4.0,5.0,,4.0
EMP100092,Ahmad Indrawan,3.0,,,3.0,,2.0,4.0,4.0
EMP100093,Nadia Lestari Utami,2.0,93.0,24.0,2.0,1.0,2.0,2.0,
EMP100094,Nadia Utama Yulianto,4.0,95.0,16.0,3.0,4.0,4.0,4.0,4.0
EMP100095,Fitri Pamungkas,3.0,,,3.0,2.0,4.0,4.0,3.0
EMP100096,Rama Dharma Wibowo,2.0,,20.0,2.0,1.0,3.0,3.0,2.0
EMP100097,Valdo Subekti,3.0,,32.0,,4.0,3.0,3.0,3.0
EMP100098,Indra Hidayat,3.0,128.0,17.0,,4.0,2.0,4.0,3.0
EMP100099,Tania Suharto,3.0,,,3.0,3.0,3.0,2.0,2.0
EMP100100,Intan Rachman Suharto,1.0,,,2.0,1.0,1.0,,
EMP100101,Yoga Pratomo,4.0,81.0,26.0,4.0,3.0,4.0,4.0,4.0
EMP100102,Dinda Permadi,,111.0,19.0,2.0,2.0,2.0,2.0,3.0
EMP100103,Ayu Ginting,5.0,105.0,26.0,5.0,,5.0,5.0,5.0
EMP100104,Budi Pratama,1.0,102.0,23.0,1.0,1.0,1.0,1.0,1.0
EMP100105,Maya Yulianto,1.0,,,1.0,2.0,,2.0,1.0
EMP100106,Valdo Wijaya Wijaya,1.0,102.0,29.0,1.0,2.0,1.0,1.0,1.0
EMP100107,Dian Fauziah,,104.0,41.0,4.0,3.0,3.0,2.0,4.0
EMP100108,Dinda Erlangga Handayani,4.0,129.0,27.0,3.0,4.0,4.0,4.0,4.0
EMP100109,Dinda Wibowo,1.0,91.0,16.0,2.0,1.0,1.0,2.0,1.0
EMP100110,Citra Hartanto,3.0,97.0,37.0,2.0,2.0,,3.0,3.0
EMP100111,Rendra Herlambang,2.0,83.0,22.0,3.0,2.0,2.0,,2.0
EMP100112,Adit Mahardika Pratama,2.0,132.0,25.0,,2.0,2.0,3.0,2.0
EMP100113,Iman Rachman Rahmawati,,117.0,28.0,4.0,3.0,2.0,3.0,2.0
EMP100114,Vania Fadillah Fauziah,5.0,,,4.0,4.0,4.0,,5.0
EMP100115,Satya Yudhistira Lukman,2.0,90.0,23.0,1.0,1.0,1.0,1.0,1.0
EMP100116,Bayu Ridwan,,,,3.0,4.0,5.0,4.0,
EMP100117,Prasetyo Gunawan,4.0,86.0,25.0,,4.0,4.0,4.0,4.0
EMP100118,Julia Pramudita Hartanto,,,32.0,,3.0,3.0,4.0,3.0
EMP100119,Iman Ginting,4.0,102.0,29.0,4.0,4.0,4.0,5.0,3.0
EMP100120,Iman Maulida,2.0,127.0,29.0,3.0,,2.0,2.0,2.0
EMP100121,Bayu Hidayat,3.0,84.0,21.0,3.0,3.0,3.0,,2.0
EMP100122,Rizki Simanjuntak,1.0,,,1.0,2.0,1.0,1.0,1.0
EMP100123,Kurnia Jatmiko Permadi,2.0,107.0,27.0,,2.0,3.0,,2.0
EMP100124,Maya Nabila Salsabila,2.0,,,2.0,2.0,1.0,2.0,3.0
EMP100125,Nabila Lestari Santoso,4.0,,30.0,4.0,3.0,4.0,4.0,3.0
EMP100126,Vania Siregar,3.0,120.0,24.0,3.0,3.0,3.0,3.0,3.0
EMP100127,Lestari Gunawan,3.0,,,3.0,2.0,3.0,4.0,3.0
EMP100128,Ahmad Siregar,2.0,117.0,38.0,1.0,3.0,2.0,2.0,
EMP100129,Dian Utama Kusuma,2.0,109.0,28.0,3.0,2.0,1.0,2.0,3.0
EMP100130,Citra Rahmawati,4.0,84.0,24.0,3.0,4.0,3.0,3.0,
EMP100131,Ayunda Adi Hartanto,3.0,102.0,24.0,2.0,2.0,3.0,3.0,4.0
EMP100132,Maya Ramadhan,2.0,118.0,33.0,2.0,2.0,2.0,2.0,2.0
EMP100133,Rendra Handayani,3.0,104.0,39.0,3.0,2.0,2.0,3.0,3.0
EMP100134,Rifqi Wijaya,3.0,119.0,22.0,4.0,3.0,3.0,3.0,3.0
EMP100135,Indra Wijaya Ridwan,4.0,113.0,27.0,4.0,4.0,4.0,4.0,5.0
EMP100136,Maya Pradana,,131.0,26.0,4.0,,3.0,2.0,
EMP100137,Rizky Jatmiko Hasibuan,2.0,125.0,16.0,1.0,,2.0,3.0,2.0
EMP100138,Rani Zulfikar,4.0,,,3.0,5.0,5.0,5.0,4.0
EMP100139,Nadia Herlambang,3.0,,,3.0,3.0,2.0,3.0,3.0
EMP100140,Yuni Siregar,4.0,,33.0,5.0,3.0,4.0,4.0,4.0
EMP100141,Fitri Utami,4.0,124.0,29.0,1.0,1.0,1.0,,2.0
EMP100142,Indra Putra,4.0,,,,3.0,3.0,4.0,3.0
EMP100143,Nadia Pramudita Wibowo,1.0,122.0,21.0,,1.0,,0.0,1.0
EMP100144,Bella Nabila Purnama,2.0,,23.0,1.0,2.0,2.0,2.0,2.0
EMP100145,Novi Purnama,1.0,107.0,31.0,1.0,,1.0,,2.0
EMP100146,Maya Wijaya,,120.0,21.0,3.0,,4.0,4.0,4.0
EMP100147,Hana Ridwan,3.0,,34.0,3.0,4.0,4.0,3.0,2.0
EMP100148,Galih Zulfikar Hasibuan,1.0,120.0,34.0,,2.0,1.0,1.0,1.0
EMP100149,Teguh Saputra Hasibuan,4.0,122.0,26.0,3.0,2.0,2.0,2.0,2.0
EMP100150,Hadi Hasibuan,,125.0,26.0,2.0,3.0,2.0,2.0,4.0
