employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,papi_score
DUP1942,Dewi Fadillah Hidayat,325441,4,4,1,4,1,1,2,2,2,79,55,54,CD,Conscientious-Dominant,ISFP,,,8,4.588235294117647
DUP2096,Putri Wibowo,149080,3,3,4,4,2,2,1,3,4,49,27,62,SD,Steadiness-Dominant,ISFJ,,,4,4.4
DUP2722,Dewi Syahputra,994257,2,4,5,1,1,2,2,2,2,33,83,22,DI,Dominant-Influencer,ISTJ,124.0,18.0,2,4.333333333333333
DUP3015,Bayu Kurniawan,391102,2,4,1,3,5,3,1,4,1,79,81,55,CD,Conscientious-Dominant,ESFP,87.0,22.0,6,4.833333333333333
DUP3452,Fitri Anugrah Subekti,890632,1,4,3,3,5,3,3,1,5,50,60,65,ID,Influencer-Dominant,ESFJ,90.0,38.0,7,4.875
DUP4177,Adi Ginting,116115,4,2,6,4,4,2,3,2,1,75,41,22,DS,Dominant-Steadiness,ENTJ,,,8,4.5
DUP5237,Fajar Fauziah,165207,1,4,4,6,1,3,2,1,6,8,99,61,DS,Dominant-Steadiness,ESFP,121.0,30.0,10,4.789473684210527
DUP9015,Umar Maulana,791731,4,4,5,2,2,1,2,3,3,50,26,42,SC,Steadiness-Conscientious,ENTP,134.0,41.0,8,5.2105263157894735
DUP9129,Nabila Dharma Salsabila,446315,3,3,6,5,3,2,3,4,2,50,28,51,IC,Influencer-Conscientious,ESFP,93.0,36.0,2,4.842105263157895
DUP9801,Ayu Kusuma Santoso,889823,2,3,3,3,1,3,1,2,4,7,37,64,SC,Steadiness-Conscientious,ISTJ,131.0,28.0,7,5.222222222222222
EMP100000,Rendra Pratama,806137,1,4,1,6,3,3,2,3,1,64,86,75,SI,Steadiness-Influencer,,94.0,33.0,2,4.444444444444445
EMP100001,Wulan Setiawan,476388,4,4,4,5,5,3,1,1,2,16,48,52,DS,Dominant-Steadiness,INTP,94.0,17.0,3,4.75
EMP100002,Julia Jatmiko Situmorang,941921,1,3,5,1,1,3,1,3,1,58,66,38,DC,Dominant-Conscientious,,109.0,20.0,3,4.666666666666667
EMP100003,Oka Halim,751615,1,3,4,2,1,1,2,2,5,15,39,63,SI,Steadiness-Influencer,ENTJ,85.0,39.0,3,5.2105263157894735
EMP100004,Dwi Pratama,443809,3,4,6,5,3,3,1,1,5,34,75,100,,Steadiness-Conscientious,INTJ,134.0,21.0,9,4.65
EMP100005,Bayu Zulfikar,590302,1,1,5,2,3,1,1,3,1,66,69,35,DC,Dominant-Conscientious,,130.0,21.0,7,5.0625
