employee_id,rating,year,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months
EMP100000,3.0,2025,Rendra Pratama,806137,1,4,1,6,3,3,2,3,1,64
EMP100001,3.0,2025,Wulan Setiawan,476388,4,4,4,5,5,3,1,1,2,16
EMP100002,4.0,2025,Julia Jatmiko Situmorang,941921,1,3,5,1,1,3,1,3,1,58
EMP100003,3.0,2025,Oka Halim,751615,1,3,4,2,1,1,2,2,5,15
EMP100004,4.0,2025,Dwi Pratama,443809,3,4,6,5,3,3,1,1,5,34
EMP100005,3.0,2025,Bayu Zulfikar,590302,1,1,5,2,3,1,1,3,1,66
EMP100006,4.0,2025,Indra Santoso,826406,1,3,3,2,1,2,1,1,4,82
EMP100007,2.0,2025,Rani Mahendra,878510,4,3,4,3,2,2,3,2,1,56
EMP100008,3.0,2025,Gita Permadi,189647,2,4,3,1,5,1,1,4,1,40
EMP100009,,2025,Julia Anggara,931718,1,2,5,6,4,1,3,3,2,77
EMP100010,5.0,2025,Maya Jatmiko Handayani,967930,2,3,4,3,2,2,3,1,4,29
EMP100011,5.0,2025,Fajar Halim,617452,4,1,3,5,2,3,3,2,1,51
EMP100012,5.0,2025,Rendra Tri Purnama,457211,1,2,2,3,2,1,2,4,6,3
EMP100013,2.0,2025,Maya Mahendra,656829,4,4,6,2,1,2,3,1,4,3
EMP100014,3.0,2025,Wahyu Indrawan,503585,3,3,6,1,3,1,2,4,2,65
EMP100015,,2025,Zahra Utama Setiawan,155133,4,2,3,4,5,2,3,2,1,28
EMP100016,2.0,2025,Dinda Pramudita Ginting,658786,1,4,6,6,5,2,2,1,3,39
EMP100017,4.0,2025,Fajar Mahendra,583676,2,1,4,3,1,2,3,2,2,95
EMP100018,2.0,2025,Arif Ginting,588205,4,3,5,3,5,3,2,1,6,53
EMP100019,3.0,2025,Rizki Iqbal Gunawan,341900,3,4,4,2,1,2,1,3,6,27
EMP100020,4.0,2025,Yoga Erlangga Hartanto,850478,1,3,1,6,4,1,2,4,5,31
EMP100021,,2025,Oka Candra Kurniawan,828497,3,3,1,4,3,2,3,2,6,81
EMP100022,4.0,2025,Oka Nugroho,674733,2,1,2,3,1,2,2,3,3,53
EMP100023,3.0,2025,Adit Kurniawan,555024,4,2,3,2,1,2,2,4,1,49
EMP100024,5.0,2025,Rendra Candra Maulida,884289,2,1,5,3,2,2,2,3,4,44
EMP100025,,2025,Rizky Dharma Purnama,786831,1,3,1,2,5,3,3,2,2,20
EMP100026,5.0,2025,Wulan Yudhistira Tamba,926498,4,1,4,2,5,2,2,4,3,65
EMP100027,1.0,2025,Oka Rohman,176075,3,3,2,1,5,1,3,3,2,132
EMP100028,3.0,2025,Nadia Saputra,373327,3,1,3,3,4,1,2,4,5,22
EMP100029,,2025,Satya Adi Hasibuan,491714,3,3,5,6,5,1,1,1,5,32
EMP100030,3.0,2025,Rizky Anugrah Permadi,276288,3,1,5,3,4,2,3,3,4,56
EMP100031,2.0,2025,Julia Nabila Kurniawan,379652,4,4,3,2,4,3,2,4,2,34
EMP100032,3.0,2025,Galih Mahardika Purnama,980623,2,1,3,6,3,3,1,4,2,34
EMP100033,2.0,2025,Ahmad Simanjuntak,846300,2,2,5,3,1,3,2,4,3,37
EMP100034,,2025,Ari Adi Ginting,510070,1,4,6,5,5,2,1,4,1,86
